fips,state,county,county_name,population,median_income,pct_ba_plus,pct_moved_diff_state
17051,17,051,"Fayette County, Illinois",21565,46650,11.3,1.0
17107,17,107,"Logan County, Illinois",29003,57308,19.9,1.2
17165,17,165,"Saline County, Illinois",23994,44090,19.2,1.1
17097,17,097,"Lake County, Illinois",701473,89427,45.3,2.7
17127,17,127,"Massac County, Illinois",14219,47481,13.9,2.5
17017,17,017,"Cass County, Illinois",12493,52373,15.1,0.8
18069,18,069,"Huntington County, Indiana",36359,53632,20.1,1.5
18181,18,181,"White County, Indiana",24149,54576,16.4,2.6
18075,18,075,"Jay County, Indiana",20840,47658,11.4,0.8
18145,18,145,"Shelby County, Indiana",44438,60404,18.7,1.8
18153,18,153,"Sullivan County, Indiana",20730,50245,12.1,1.5
18157,18,157,"Tippecanoe County, Indiana",191553,53130,38.7,4.1
18057,18,057,"Hamilton County, Indiana",323117,98173,59.3,2.9
18005,18,005,"Bartholomew County, Indiana",82481,63431,33.5,2.2
18049,18,049,"Fulton County, Indiana",20096,52034,15.8,0.6
18113,18,113,"Noble County, Indiana",47506,56789,13.7,1.4
18019,18,019,"Clark County, Indiana",116507,55630,21.2,2.4
18063,18,063,"Hendricks County, Indiana",163799,81933,37.0,2.3
18053,18,053,"Grant County, Indiana",66452,44356,17.9,1.9
18071,18,071,"Jackson County, Indiana",44025,51250,16.7,1.0
18119,18,119,"Owen County, Indiana",20835,49543,13.1,1.3
18183,18,183,"Whitley County, Indiana",33730,61741,20.7,0.7
18023,18,023,"Clinton County, Indiana",32273,54286,16.3,1.4
18161,18,161,"Union County, Indiana",7113,50375,18.5,10.0
18029,18,029,"Dearborn County, Indiana",49479,68658,22.9,4.1
18093,18,093,"Lawrence County, Indiana",45548,53610,15.8,0.7
18123,18,123,"Perry County, Indiana",19102,52348,16.1,1.9
18129,18,129,"Posey County, Indiana",25560,64196,21.9,1.7
18015,18,015,"Carroll County, Indiana",20074,54806,16.7,0.4
18045,18,045,"Fountain County, Indiana",16430,52874,14.9,1.1
18149,18,149,"Starke County, Indiana",22952,51190,11.9,2.1
18055,18,055,"Greene County, Indiana",32159,51613,14.9,1.3
19011,19,011,"Benton County, Iowa",25636,67729,22.1,0.8
19061,19,061,"Dubuque County, Iowa",96982,63031,30.8,4.1
19151,19,151,"Pocahontas County, Iowa",6797,52448,15.0,0.7
19177,19,177,"Van Buren County, Iowa",7150,48591,14.4,1.3
19003,19,003,"Adams County, Iowa",3670,49255,15.6,0.8
19009,19,009,"Audubon County, Iowa",5571,52055,17.1,2.0
19051,19,051,"Davis County, Iowa",8920,63404,19.5,1.3
19093,19,093,"Ida County, Iowa",6901,58427,18.6,0.8
19135,19,135,"Monroe County, Iowa",7807,58269,17.4,1.1
19167,19,167,"Sioux County, Iowa",34827,69844,29.1,2.7
19025,19,025,"Calhoun County, Iowa",9744,52323,18.7,1.5
19033,19,033,"Cerro Gordo County, Iowa",42834,53963,23.6,2.1
19083,19,083,"Hardin County, Iowa",17061,54196,20.8,1.4
19117,19,117,"Lucas County, Iowa",8583,55205,17.0,1.6
19147,19,147,"Palo Alto County, Iowa",9003,52932,25.5,1.4
19087,19,087,"Henry County, Iowa",19941,53501,19.6,1.9
19099,19,099,"Jasper County, Iowa",36971,58952,18.8,1.4
19157,19,157,"Poweshiek County, Iowa",18388,53852,26.1,3.4
19043,19,043,"Clayton County, Iowa",17625,53152,17.7,1.9
19017,19,017,"Bremer County, Iowa",24864,70395,30.7,1.5
19063,19,063,"Emmet County, Iowa",9438,51563,18.8,5.2
19081,19,081,"Hancock County, Iowa",10802,61761,23.8,1.6
19097,19,097,"Jackson County, Iowa",19401,55967,19.2,1.6
19111,19,111,"Lee County, Iowa",34227,49564,16.4,2.6
19181,19,181,"Warren County, Iowa",50076,77048,31.9,1.8
19123,19,123,"Mahaska County, Iowa",22164,54825,22.0,1.8
19041,19,041,"Clay County, Iowa",16211,50521,22.7,2.4
19055,19,055,"Delaware County, Iowa",17183,63750,16.6,0.5
13005,13,005,"Bacon County, Georgia",11201,37519,10.5,0.5
13025,13,025,"Brantley County, Georgia",18756,38857,8.9,1.8
13017,13,017,"Ben Hill County, Georgia",17033,32229,11.2,1.1
13033,13,033,"Burke County, Georgia",22520,44151,13.2,0.6
13047,13,047,"Catoosa County, Georgia",66700,56235,21.4,4.0
13053,13,053,"Chattahoochee County, Georgia",10560,47096,29.5,30.1
13055,13,055,"Chattooga County, Georgia",24812,36807,8.9,1.3
13073,13,073,"Columbia County, Georgia",150705,82339,36.4,3.4
13087,13,087,"Decatur County, Georgia",26682,41481,13.8,1.4
13115,13,115,"Floyd County, Georgia",97369,48336,20.9,1.7
13117,13,117,"Forsyth County, Georgia",228383,107218,53.1,2.5
13137,13,137,"Habersham County, Georgia",44626,50563,19.3,1.1
13147,13,147,"Hart County, Georgia",25773,43204,15.7,1.4
13185,13,185,"Lowndes County, Georgia",115364,42441,25.3,3.8
13191,13,191,"McIntosh County, Georgia",14174,49504,17.6,1.8
13199,13,199,"Meriwether County, Georgia",21106,37121,10.4,0.7
13207,13,207,"Monroe County, Georgia",27171,54754,26.8,1.5
13237,13,237,"Putnam County, Georgia",21691,51606,23.4,1.4
13261,13,261,"Sumter County, Georgia",30064,36681,18.3,0.5
13265,13,265,"Taliaferro County, Georgia",1611,37446,8.1,0.5
13301,13,301,"Warren County, Georgia",5297,37203,12.3,0.6
19185,19,185,"Wayne County, Iowa",6429,44768,12.7,2.7
19163,19,163,"Scott County, Iowa",172446,61183,31.8,3.0
20181,20,181,"Sherman County, Kansas",5938,54754,21.8,3.1
20193,20,193,"Thomas County, Kansas",7810,60124,22.6,4.7
20127,20,127,"Morris County, Kansas",5566,55658,21.4,1.7
20163,20,163,"Rooks County, Kansas",5053,49415,23.1,0.7
20025,20,025,"Clark County, Kansas",2026,53348,26.1,2.9
20077,20,077,"Harper County, Kansas",5594,49865,16.2,2.4
20111,20,111,"Lyon County, Kansas",33251,46338,27.5,1.9
20145,20,145,"Pawnee County, Kansas",6629,49917,19.6,2.0
20033,20,033,"Comanche County, Kansas",1740,54821,16.0,0.0
20063,20,063,"Gove County, Kansas",2644,48317,19.7,1.9
20079,20,079,"Harvey County, Kansas",34503,57982,33.2,2.5
20093,20,093,"Kearny County, Kansas",3907,52599,14.7,4.0
20113,20,113,"McPherson County, Kansas",28567,59089,28.0,2.4
05041,05,041,"Desha County, Arkansas",11709,31893,14.1,0.8
05049,05,049,"Fulton County, Arkansas",12231,35405,12.2,3.5
05061,05,061,"Howard County, Arkansas",13311,36059,13.6,1.4
05051,05,051,"Garland County, Arkansas",98555,44777,21.6,3.0
05093,05,093,"Mississippi County, Arkansas",42126,39962,13.8,3.1
05115,05,115,"Pope County, Arkansas",63761,43462,22.8,1.1
05117,05,117,"Prairie County, Arkansas",8189,42660,15.4,0.9
05139,05,139,"Union County, Arkansas",39449,44663,21.1,2.3
05147,05,147,"Woodruff County, Arkansas",6533,32845,14.0,0.6
05023,05,023,"Cleburne County, Arkansas",25100,44483,15.5,1.7
05025,05,025,"Cleveland County, Arkansas",8128,46684,16.2,0.2
05067,05,067,"Jackson County, Arkansas",17027,34109,10.1,2.3
05057,05,057,"Hempstead County, Arkansas",21842,42860,15.1,2.3
05135,05,135,"Sharp County, Arkansas",17139,34671,10.2,2.2
05137,05,137,"Stone County, Arkansas",12475,38188,13.9,1.7
05143,05,143,"Washington County, Arkansas",232289,50451,33.3,4.1
05005,05,005,"Baxter County, Arkansas",41427,42260,17.9,2.7
05003,05,003,"Ashley County, Arkansas",20270,44744,12.3,1.2
05031,05,031,"Craighead County, Arkansas",107345,47286,26.2,1.8
05055,05,055,"Greene County, Arkansas",44937,47056,16.2,3.1
05105,05,105,"Perry County, Arkansas",10355,48667,12.7,1.9
05111,05,111,"Poinsett County, Arkansas",23896,40921,11.1,1.7
05133,05,133,"Sevier County, Arkansas",17081,47704,12.8,0.6
05013,05,013,"Calhoun County, Arkansas",5192,46417,11.4,0.4
05019,05,019,"Clark County, Arkansas",22386,41620,26.6,2.6
05075,05,075,"Lawrence County, Arkansas",16549,39993,15.4,2.4
05095,05,095,"Monroe County, Arkansas",7050,38468,12.7,2.8
05029,05,029,"Conway County, Arkansas",20858,42802,15.6,1.3
05101,05,101,"Newton County, Arkansas",7812,38082,20.5,1.0
05001,05,001,"Arkansas County, Arkansas",17914,46696,15.8,1.2
05085,05,085,"Lonoke County, Arkansas",72528,59094,20.6,1.6
05015,05,015,"Carroll County, Arkansas",27965,46110,21.2,2.1
05123,05,123,"St. Francis County, Arkansas",25900,35348,10.4,1.5
05119,05,119,"Pulaski County, Arkansas",392967,51749,34.3,2.2
06047,06,047,"Merced County, California",271382,53672,13.8,0.8
06043,06,043,"Mariposa County, California",17420,48820,24.6,1.8
06049,06,049,"Modoc County, California",8907,45507,15.2,3.1
06013,06,013,"Contra Costa County, California",1142251,99716,42.4,1.1
06027,06,027,"Inyo County, California",17977,57316,27.2,2.7
06099,06,099,"Stanislaus County, California",543194,60704,17.1,0.6
06083,06,083,"Santa Barbara County, California",444829,74624,34.2,1.9
06103,06,103,"Tehama County, California",63912,44514,15.7,0.9
06051,06,051,"Mono County, California",14310,62260,28.8,0.7
06069,06,069,"San Benito County, California",60376,86958,19.7,0.7
