fips,year,firms,bds_emp,firm_birth_rate
01001,2015,656.0,7667.0,
01003,2015,4058.0,59651.0,
01005,2015,383.0,6861.0,
01007,2015,248.0,3413.0,
01009,2015,595.0,6690.0,
01011,2015,96.0,2083.0,
01013,2015,368.0,6117.0,
01015,2015,1841.0,36608.0,
01017,2015,503.0,6790.0,
01019,2015,311.0,3735.0,
01021,2015,676.0,7676.0,
01023,2015,221.0,2777.0,
01025,2015,498.0,7282.0,
01027,2015,166.0,3161.0,
01029,2015,146.0,1814.0,
01031,2015,832.0,12893.0,
01033,2015,1005.0,21694.0,
01035,2015,175.0,2487.0,
01037,2015,85.0,934.0,
01039,2015,720.0,10646.0,
01041,2015,182.0,3195.0,
01043,2015,1455.0,22155.0,
01045,2015,630.0,11157.0,
01047,2015,641.0,10503.0,
01049,2015,902.0,17366.0,
01051,2015,1029.0,17745.0,
01053,2015,606.0,10760.0,
01055,2015,1643.0,29638.0,
01057,2015,255.0,3085.0,
01059,2015,447.0,9084.0,
01061,2015,347.0,3721.0,
01063,2015,92.0,1296.0,
01065,2015,155.0,1680.0,
01067,2015,250.0,3393.0,
01069,2015,2194.0,41760.0,
01071,2015,739.0,13356.0,
01073,2015,11873.0,306528.0,
01075,2015,214.0,3090.0,
01077,2015,1635.0,25858.0,
01079,2015,349.0,3067.0,
01081,2015,2119.0,42646.0,
01083,2015,1161.0,17833.0,
01085,2015,92.0,1465.0,
01087,2015,216.0,5308.0,
01089,2015,6157.0,153766.0,
01091,2015,402.0,6300.0,
01093,2015,454.0,7353.0,
01095,2015,1440.0,29934.0,
01097,2015,6362.0,147962.0,
01099,2015,345.0,5321.0,
01101,2015,4187.0,101694.0,
01103,2015,2131.0,42759.0,
01105,2015,108.0,1487.0,
01107,2015,219.0,2542.0,
01109,2015,546.0,10736.0,
01111,2015,297.0,3855.0,
01113,2015,649.0,10436.0,
01115,2015,1121.0,17080.0,
01117,2015,4077.0,87520.0,
01119,2015,169.0,2987.0,
01121,2015,971.0,22865.0,
01123,2015,618.0,10464.0,
01125,2015,3316.0,78277.0,
01127,2015,1023.0,15213.0,
01129,2015,156.0,2193.0,
01131,2015,146.0,1302.0,
01133,2015,359.0,6559.0,
01999,2015,310.0,52452.0,
02013,2015,28.0,1446.0,
02016,2015,94.0,5542.0,
02020,2015,6310.0,145286.0,
02050,2015,148.0,3252.0,
02060,2015,51.0,399.0,
02063,2015,224.0,2187.0,
02066,2015,86.0,638.0,
02068,2015,54.0,439.0,
02070,2015,72.0,1332.0,
02090,2015,1875.0,27574.0,
02100,2015,95.0,612.0,
02105,2015,47.0,205.0,
02110,2015,869.0,11496.0,
02122,2015,1487.0,15910.0,
02130,2015,460.0,5008.0,
02150,2015,343.0,4676.0,
02158,2015,44.0,683.0,
02164,2015,35.0,207.0,
02170,2015,1664.0,18175.0,
02180,2015,126.0,2226.0,
02185,2015,93.0,6356.0,
02188,2015,56.0,1426.0,
02195,2015,125.0,889.0,
02198,2015,93.0,966.0,
02220,2015,297.0,2944.0,
02230,2015,57.0,345.0,
02240,2015,137.0,1303.0,
02275,2015,72.0,577.0,
02282,2015,19.0,173.0,
02290,2015,69.0,684.0,
02999,2015,94.0,3592.0,
04001,2015,353.0,6905.0,
04003,2015,1713.0,26247.0,
04005,2015,2779.0,49539.0,
04007,2015,846.0,12085.0,
04009,2015,414.0,6060.0,
04011,2015,80.0,3819.0,
04012,2015,298.0,3845.0,
04013,2015,59699.0,1578168.0,
04015,2015,2897.0,41883.0,
04017,2015,1343.0,18529.0,
04019,2015,14087.0,309262.0,
04021,2015,2595.0,48302.0,
04023,2015,1001.0,11319.0,
04025,2015,4709.0,59016.0,
04027,2015,2270.0,41657.0,
04999,2015,357.0,95898.0,
05001,2015,437.0,8193.0,
05003,2015,337.0,5953.0,
05005,2015,875.0,12998.0,
05007,2015,3915.0,107882.0,
05009,2015,752.0,12137.0,
05011,2015,219.0,2923.0,
05013,2015,71.0,717.0,
05015,2015,565.0,7944.0,
05017,2015,187.0,1892.0,
05019,2015,436.0,6843.0,
05021,2015,251.0,2718.0,
05023,2015,509.0,5740.0,
05025,2015,74.0,732.0,
05027,2015,497.0,7565.0,
05029,2015,378.0,4957.0,
05031,2015,1926.0,40004.0,
05033,2015,885.0,13579.0,
05035,2015,710.0,13537.0,
05037,2015,302.0,3624.0,
05039,2015,173.0,2361.0,
05041,2015,256.0,3613.0,
05043,2015,338.0,4591.0,
05045,2015,2060.0,36070.0,
05047,2015,259.0,3563.0,
05049,2015,146.0,1746.0,
05051,2015,2179.0,32556.0,
05053,2015,239.0,3380.0,
05055,2015,671.0,13832.0,
05057,2015,343.0,7046.0,
05059,2015,415.0,6338.0,
05061,2015,257.0,6070.0,
05063,2015,679.0,14425.0,
05065,2015,184.0,1947.0,
05067,2015,292.0,3844.0,
05069,2015,1087.0,20707.0,
05071,2015,335.0,7477.0,
05073,2015,95.0,734.0,
05075,2015,229.0,2919.0,
05077,2015,120.0,924.0,
05079,2015,139.0,1491.0,
05081,2015,149.0,2578.0,
05083,2015,300.0,3983.0,
05085,2015,829.0,11242.0,
05087,2015,171.0,2357.0,
05089,2015,182.0,2864.0,
05091,2015,678.0,12884.0,
05093,2015,641.0,16316.0,
05095,2015,158.0,1634.0,
05097,2015,127.0,799.0,
05099,2015,104.0,1281.0,
05101,2015,69.0,635.0,
05103,2015,443.0,7251.0,
05105,2015,90.0,641.0,
05107,2015,324.0,3788.0,
05109,2015,158.0,1649.0,
05111,2015,300.0,3486.0,
05113,2015,397.0,4979.0,
05115,2015,1234.0,23637.0,
05117,2015,132.0,911.0,
05119,2015,8915.0,203091.0,
05121,2015,279.0,3375.0,
05123,2015,378.0,5467.0,
05125,2015,1534.0,20693.0,
05127,2015,131.0,2058.0,
05129,2015,105.0,1058.0,
05131,2015,2617.0,60866.0,
05133,2015,227.0,4020.0,
05135,2015,264.0,2236.0,
05137,2015,204.0,1963.0,
05139,2015,959.0,15825.0,
05141,2015,283.0,3703.0,
05143,2015,4058.0,83229.0,
05145,2015,1287.0,23241.0,
05147,2015,109.0,1134.0,
05149,2015,247.0,4960.0,
05999,2015,225.0,22808.0,
06001,2015,29459.0,631667.0,
06003,2015,27.0,124.0,
06005,2015,712.0,8704.0,
06007,2015,3739.0,59769.0,
06009,2015,746.0,6237.0,
06011,2015,313.0,3872.0,
06013,2015,17315.0,320152.0,
06015,2015,367.0,4193.0,
06017,2015,3475.0,42993.0,
06019,2015,12380.0,252907.0,
06021,2015,390.0,4784.0,
06023,2015,2508.0,33021.0,
