fips,tariff_exposure_share,tariff_exposure_weighted,emp_total_2017
01000,0.011360679778053717,0.001327820737933071,17576325
01001,0.0,0.0,69244
01003,0.0013966480446927375,0.00019103379075063472,574948
01005,0.005104043973301924,0.0005148914689550732,50940
01007,0.0006549592697204143,6.847301456167968e-05,24429
01009,0.0014251128929791727,0.0002137669339468759,58241
01011,0.001812478215406065,0.0001812478215406065,14345
01013,0.0027390791027154665,0.00027390791027154666,42350
01015,0.002306739055152814,0.0002572096327820246,349411
01017,0.018445832642305638,0.001844583264230564,54267
01019,0.0014307649357900615,0.00014307649357900615,28656
01021,0.0015763516044449994,0.00015763516044449996,64072
01023,0.010802469135802469,0.0010802469135802468,17496
01025,0.010715922309563256,0.0010715922309563256,56738
01027,0.0,0.0,22319
01029,0.0,0.0,13207
01031,0.0,0.0,108430
01033,0.004258690072562502,0.0005209969535518507,157795
01035,0.005550851444162197,0.0005550851444162197,21258
01037,0.0,0.0,6661
01039,0.0,0.0,82498
01041,0.005283897546122156,0.0005283897546122157,22332
01043,0.002068658133653725,0.00021110814031836833,206414
01045,0.00046274476198637473,4.627447619863747e-05,116695
01047,0.001011435167005795,0.0001011435167005795,84039
01049,0.003841173619600836,0.00044487038751727076,138239
01051,0.0007525354113625814,7.525354113625815e-05,142186
01053,0.001704093611542394,0.0001715814890351945,79221
01055,0.0006322888857664747,6.322888857664745e-05,256212
01057,0.0,0.0,22875
01059,0.0006745309656773546,6.745309656773546e-05,63748
01061,0.00048429081663538953,5.188830178236316e-05,33038
01063,0.00334737069430947,0.000334737069430947,9261
01065,0.0075863553212095125,0.0007586355321209514,18586
01067,0.004416048106736822,0.0004416048106736822,21286
01069,0.0014712656513910021,0.00016199609284381545,358195
01071,0.006974675841408042,0.0006994584498524332,106815
01073,0.003683216764619844,0.0004285590756764541,2857828
01075,0.002548930359581247,0.00025489303595812473,21970
01077,0.0035469582670080973,0.00045508720460274205,231184
01079,0.0,0.0,33506
01081,0.00506417840585403,0.0005878420330708456,425143
01083,0.00033347561626293886,3.51260982463629e-05,149936
01085,0.0,0.0,12127
01087,0.002025529312848735,0.0002941840192470782,26166
01089,0.0020804174285558386,0.00026613152477405116,1576126
01091,0.004932609307054929,0.000493260930705493,46223
01093,0.002036053814468512,0.00022031146402710564,63849
01095,0.024548147482449562,0.0035940039564516337,289309
01097,0.006424633060561646,0.0008284325115970254,1389807
01099,0.0,0.0,34744
01101,0.0011210167925285745,0.0001239212818762199,1056184
01103,0.00561235876114826,0.0005985936602460421,362949
01105,0.0,0.0,11810
01107,0.018433550672140385,0.0018433550672140387,24846
01109,0.0,0.0,81779
01111,0.005870705526800292,0.0007199430298398582,28787
01113,0.00028112970892262446,2.8112970892262448e-05,92484
01115,0.004929478280115088,0.0005630815131630004,149103
01117,0.002129829917454622,0.00024362698664752533,691135
01119,0.0,0.0,14661
01121,0.0031379964094079547,0.00031581797283094224,198853
01123,0.000507051554171973,5.07051554171973e-05,84804
01125,0.004317116130721443,0.00047846862099619274,672208
01127,0.003164427246866315,0.00031644272468663156,121981
01129,0.008795204402515723,0.0008795204402515723,20352
01131,0.005637773079633545,0.0005637773079633545,15609
01133,0.03330313462583802,0.003341909766262004,55190
01999,0.0003905429288247871,4.61222049674553e-05,404565
02000,0.0046655375211714775,0.00048054548451211644,2880054
02013,0.09551411290322581,0.009591543270534022,19840
02016,0.0008850047015874771,8.950047547127594e-05,18079
02020,0.0003398379509560178,4.1422186336243104e-05,1174089
02050,0.0,0.0,46347
02060,0.0,0.0,6101
02068,0.0,0.0,15556
02070,0.0,0.0,11039
02090,0.0,0.0,255935
02100,0.0,0.0,5334
