hs8,list_id,tariff_rate,effective_date,naics6
91,List 1,25.0,2018-06-20,
25,List 1,25.0,2018-06-20,
28459000,List 1,25.0,2018-06-20,325180
40113000,List 1,25.0,2018-06-20,326211
40121300,List 1,25.0,2018-06-20,326212
84011000,List 1,25.0,2018-06-20,332410
84012000,List 1,25.0,2018-06-20,333999
84013000,List 1,25.0,2018-06-20,332410
84014000,List 1,25.0,2018-06-20,332410
84021100,List 1,25.0,2018-06-20,332410
84021200,List 1,25.0,2018-06-20,332410
84021900,List 1,25.0,2018-06-20,332410
84022000,List 1,25.0,2018-06-20,332410
84029000,List 1,25.0,2018-06-20,332410
84042000,List 1,25.0,2018-06-20,332410
84049000,List 1,25.0,2018-06-20,332410
84051000,List 1,25.0,2018-06-20,335312
84059000,List 1,25.0,2018-06-20,335312
84061010,List 1,25.0,2018-06-20,333611
84061090,List 1,25.0,2018-06-20,333611
84068190,List 1,25.0,2018-06-20,333611
84068290,List 1,25.0,2018-06-20,333611
84071000,List 1,25.0,2018-06-20,336412
84072100,List 1,25.0,2018-06-20,333618
84072900,List 1,25.0,2018-06-20,333618
84081000,List 1,25.0,2018-06-20,333618
84089010,List 1,25.0,2018-06-20,333618
84089090,List 1,25.0,2018-06-20,333618
84091000,List 1,25.0,2018-06-20,336412
84101100,List 1,25.0,2018-06-20,333611
84101200,List 1,25.0,2018-06-20,333611
84101300,List 1,25.0,2018-06-20,333611
84109000,List 1,25.0,2018-06-20,333611
84111140,List 1,25.0,2018-06-20,336412
84111180,List 1,25.0,2018-06-20,333611
84111240,List 1,25.0,2018-06-20,336412
84111280,List 1,25.0,2018-06-20,333611
84112140,List 1,25.0,2018-06-20,336412
84112180,List 1,25.0,2018-06-20,333611
84112240,List 1,25.0,2018-06-20,336412
84112280,List 1,25.0,2018-06-20,333611
84118140,List 1,25.0,2018-06-20,336412
84118180,List 1,25.0,2018-06-20,333611
84118240,List 1,25.0,2018-06-20,336412
84118280,List 1,25.0,2018-06-20,333611
84119110,List 1,25.0,2018-06-20,333611
84119110,List 1,25.0,2018-06-20,336412
84119190,List 1,25.0,2018-06-20,333611
84119190,List 1,25.0,2018-06-20,336412
84335100,List 1,25.0,2018-06-20,333111
84335200,List 1,25.0,2018-06-20,333111
84335300,List 1,25.0,2018-06-20,333111
02032920,List 3,10%,2018-09-24,311611
02032940,List 3,10%,2018-09-24,311611
02061000,List 3,10%,2018-09-24,311611
02081000,List 3,10%,2018-09-24,311615
02089020,List 3,10%,2018-09-24,311611
02089025,List 3,10%,2018-09-24,311611
02101900,List 3,10%,2018-09-24,311611
03011100,List 3,10%,2018-09-24,112511
03011900,List 3,10%,2018-09-24,112511
03019100,List 3,10%,2018-09-24,112511
03019200,List 3,10%,2018-09-24,112511
03019302,List 3,10%,2018-09-24,112511
03019401,List 3,10%,2018-09-24,112511
03019500,List 3,10%,2018-09-24,112511
03019903,List 3,10%,2018-09-24,112511
03021100,List 3,10%,2018-09-24,112511
03021100,List 3,10%,2018-09-24,114111
03021300,List 3,10%,2018-09-24,112511
03021300,List 3,10%,2018-09-24,114111
03021400,List 3,10%,2018-09-24,112511
03021400,List 3,10%,2018-09-24,114111
03021900,List 3,10%,2018-09-24,114111
03022100,List 3,10%,2018-09-24,114111
03022200,List 3,10%,2018-09-24,114111
03022300,List 3,10%,2018-09-24,114111
03022400,List 3,10%,2018-09-24,114111
03022901,List 3,10%,2018-09-24,114111
03023100,List 3,10%,2018-09-24,114111
03023200,List 3,10%,2018-09-24,114111
03023300,List 3,10%,2018-09-24,114111
03023400,List 3,10%,2018-09-24,114111
03023501,List 3,10%,2018-09-24,114111
03023600,List 3,10%,2018-09-24,114111
03023902,List 3,10%,2018-09-24,114111
03024100,List 3,10%,2018-09-24,114111
03024200,List 3,10%,2018-09-24,114111
03024300,List 3,10%,2018-09-24,114111
03024400,List 3,10%,2018-09-24,114111
03024511,List 3,10%,2018-09-24,114111
03024550,List 3,10%,2018-09-24,114111
03024611,List 3,10%,2018-09-24,114111
03024650,List 3,10%,2018-09-24,114111
03024700,List 3,10%,2018-09-24,114111
03024900,List 3,10%,2018-09-24,114111
03025100,List 3,10%,2018-09-24,114111
03025200,List 3,10%,2018-09-24,114111
03025300,List 3,10%,2018-09-24,114111
03025411,List 3,10%,2018-09-24,114111
03025450,List 3,10%,2018-09-24,114111
03025511,List 3,10%,2018-09-24,114111
03025550,List 3,10%,2018-09-24,114111
03025611,List 3,10%,2018-09-24,114111
03025650,List 3,10%,2018-09-24,114111
03025911,List 3,10%,2018-09-24,114111
03025950,List 3,10%,2018-09-24,114111
03027111,List 3,10%,2018-09-24,114111
03027150,List 3,10%,2018-09-24,114111
03027211,List 3,10%,2018-09-24,114111
03027250,List 3,10%,2018-09-24,114111
03027311,List 3,10%,2018-09-24,114111
03027350,List 3,10%,2018-09-24,114111
03027400,List 3,10%,2018-09-24,114111
03027911,List 3,10%,2018-09-24,114111
03027950,List 3,10%,2018-09-24,114111
03028100,List 3,10%,2018-09-24,114111
03028200,List 3,10%,2018-09-24,114111
03028300,List 3,10%,2018-09-24,114111
03028411,List 3,10%,2018-09-24,114111
03028450,List 3,10%,2018-09-24,114111
03028511,List 3,10%,2018-09-24,114111
03028550,List 3,10%,2018-09-24,114111
03028911,List 3,10%,2018-09-24,114111
03028950,List 3,10%,2018-09-24,114111
03029120,List 3,10%,2018-09-24,114111
03029140,List 3,10%,2018-09-24,114111
03029200,List 3,10%,2018-09-24,114111
03029900,List 3,10%,2018-09-24,114111
03031100,List 3,10%,2018-09-24,114111
03031200,List 3,10%,2018-09-24,114111
03031300,List 3,10%,2018-09-24,114111
03031400,List 3,10%,2018-09-24,114111
03031901,List 3,10%,2018-09-24,114111
03032300,List 3,10%,2018-09-24,114111
03032400,List 3,10%,2018-09-24,114111
03032501,List 3,10%,2018-09-24,114111
03032600,List 3,10%,2018-09-24,114111
03032901,List 3,10%,2018-09-24,114111
03033100,List 3,10%,2018-09-24,114111
03033200,List 3,10%,2018-09-24,114111
03033300,List 3,10%,2018-09-24,114111
03033400,List 3,10%,2018-09-24,114111
03033901,List 3,10%,2018-09-24,114111
03034100,List 3,10%,2018-09-24,114111
03034200,List 3,10%,2018-09-24,114111
03034300,List 3,10%,2018-09-24,114111
03034400,List 3,10%,2018-09-24,114111
03034501,List 3,10%,2018-09-24,114111
03034600,List 3,10%,2018-09-24,114111
03034902,List 3,10%,2018-09-24,114111
03035100,List 3,10%,2018-09-24,114111
03035300,List 3,10%,2018-09-24,114111
03035400,List 3,10%,2018-09-24,114111
03035500,List 3,10%,2018-09-24,114111
03035600,List 3,10%,2018-09-24,114111
03035700,List 3,10%,2018-09-24,114111
03035900,List 3,10%,2018-09-24,114111
03036300,List 3,10%,2018-09-24,114111
03036400,List 3,10%,2018-09-24,114111
03036500,List 3,10%,2018-09-24,114111
03036600,List 3,10%,2018-09-24,114111
03036700,List 3,10%,2018-09-24,114111
03036800,List 3,10%,2018-09-24,114111
03038100,List 3,10%,2018-09-24,114111
03038200,List 3,10%,2018-09-24,114111
03038300,List 3,10%,2018-09-24,114111
03038400,List 3,10%,2018-09-24,114111
03038900,List 3,10%,2018-09-24,114111
03039120,List 3,10%,2018-09-24,114111
03039140,List 3,10%,2018-09-24,114111
03039200,List 3,10%,2018-09-24,114111
03039900,List 3,10%,2018-09-24,114111
03043100,List 3,10%,2018-09-24,114111
03043200,List 3,10%,2018-09-24,114111
03043300,List 3,10%,2018-09-24,114111
03043900,List 3,10%,2018-09-24,114111
03044100,List 3,10%,2018-09-24,112511
03044100,List 3,10%,2018-09-24,114111
03044200,List 3,10%,2018-09-24,114111
03044300,List 3,10%,2018-09-24,114111
03044400,List 3,10%,2018-09-24,114111
03044500,List 3,10%,2018-09-24,114111
03044600,List 3,10%,2018-09-24,114111
03044700,List 3,10%,2018-09-24,114111
03044800,List 3,10%,2018-09-24,114111
03044901,List 3,10%,2018-09-24,114111
03045101,List 3,10%,2018-09-24,114111
03045200,List 3,10%,2018-09-24,112511
03045200,List 3,10%,2018-09-24,114111
03045300,List 3,10%,2018-09-24,114111
03045400,List 3,10%,2018-09-24,114111
03045500,List 3,10%,2018-09-24,114111
03045600,List 3,10%,2018-09-24,114111
03045700,List 3,10%,2018-09-24,114111
03045900,List 3,10%,2018-09-24,114111
03046100,List 3,10%,2018-09-24,114111
03046200,List 3,10%,2018-09-24,114111
03046300,List 3,10%,2018-09-24,114111
03046900,List 3,10%,2018-09-24,114111
03047250,List 3,10%,2018-09-24,114111
03047310,List 3,10%,2018-09-24,114111
03047350,List 3,10%,2018-09-24,114111
03047410,List 3,10%,2018-09-24,114111
03047450,List 3,10%,2018-09-24,114111
03047910,List 3,10%,2018-09-24,114111
03047950,List 3,10%,2018-09-24,114111
03048110,List 3,10%,2018-09-24,114111
03048150,List 3,10%,2018-09-24,114111
03048210,List 3,10%,2018-09-24,114111
03048250,List 3,10%,2018-09-24,114111
03048310,List 3,10%,2018-09-24,114111
03048350,List 3,10%,2018-09-24,114111
03048400,List 3,10%,2018-09-24,114111
03048500,List 3,10%,2018-09-24,114111
03048600,List 3,10%,2018-09-24,114111
03048700,List 3,10%,2018-09-24,114111
03048800,List 3,10%,2018-09-24,114111
03048910,List 3,10%,2018-09-24,114111
03048950,List 3,10%,2018-09-24,114111
03049110,List 3,10%,2018-09-24,114111
03049190,List 3,10%,2018-09-24,114111
03049210,List 3,10%,2018-09-24,114111
03049290,List 3,10%,2018-09-24,114111
03049310,List 3,10%,2018-09-24,114111
03049390,List 3,10%,2018-09-24,114111
03049490,List 3,10%,2018-09-24,114111
03049510,List 3,10%,2018-09-24,114111
03049600,List 3,10%,2018-09-24,114111
03049700,List 3,10%,2018-09-24,114111
03049911,List 3,10%,2018-09-24,114111
03049991,List 3,10%,2018-09-24,114111
03051020,List 3,10%,2018-09-24,311710
03051040,List 3,10%,2018-09-24,311710
03052020,List 3,10%,2018-09-24,311710
03052040,List 3,10%,2018-09-24,311710
03053101,List 3,10%,2018-09-24,311710
03053200,List 3,10%,2018-09-24,311710
03053920,List 3,10%,2018-09-24,311710
03053940,List 3,10%,2018-09-24,311710
03053961,List 3,10%,2018-09-24,311710
03054100,List 3,10%,2018-09-24,311710
03054200,List 3,10%,2018-09-24,311710
03054300,List 3,10%,2018-09-24,311710
03054401,List 3,10%,2018-09-24,311710
03054920,List 3,10%,2018-09-24,311710
03054940,List 3,10%,2018-09-24,311710
03055100,List 3,10%,2018-09-24,311710
03055200,List 3,10%,2018-09-24,311710
03055300,List 3,10%,2018-09-24,311710
03055400,List 3,10%,2018-09-24,311710
03055900,List 3,10%,2018-09-24,311710
03056120,List 3,10%,2018-09-24,311710
03056140,List 3,10%,2018-09-24,311710
03056200,List 3,10%,2018-09-24,311710
03056320,List 3,10%,2018-09-24,311710
03056340,List 3,10%,2018-09-24,311710
03056360,List 3,10%,2018-09-24,311710
03056410,List 3,10%,2018-09-24,311710
03056450,List 3,10%,2018-09-24,311710
03056910,List 3,10%,2018-09-24,311710
03056920,List 3,10%,2018-09-24,311710
03056930,List 3,10%,2018-09-24,311710
03056940,List 3,10%,2018-09-24,311710
03056950,List 3,10%,2018-09-24,311710
03056960,List 3,10%,2018-09-24,311710
03057100,List 3,10%,2018-09-24,311710
03057200,List 3,10%,2018-09-24,311710
03057900,List 3,10%,2018-09-24,311710
03061100,List 3,10%,2018-09-24,114112
03061200,List 3,10%,2018-09-24,114112
03061420,List 3,10%,2018-09-24,114112
03061440,List 3,10%,2018-09-24,114112
03061500,List 3,10%,2018-09-24,114112
03061600,List 3,10%,2018-09-24,114112
03061700,List 3,10%,2018-09-24,114112
03061900,List 3,10%,2018-09-24,114112
03061900,List 3,10%,2018-09-24,114111
03063100,List 3,10%,2018-09-24,114112
03063200,List 3,10%,2018-09-24,114112
03063320,List 3,10%,2018-09-24,114112
03063340,List 3,10%,2018-09-24,114112
03063400,List 3,10%,2018-09-24,114112
03063500,List 3,10%,2018-09-24,114112
03063600,List 3,10%,2018-09-24,114112
03063900,List 3,10%,2018-09-24,114112
03069100,List 3,10%,2018-09-24,114112
03069200,List 3,10%,2018-09-24,114112
03069320,List 3,10%,2018-09-24,114112
03069340,List 3,10%,2018-09-24,114112
03069400,List 3,10%,2018-09-24,114112
03069500,List 3,10%,2018-09-24,114112
03069900,List 3,10%,2018-09-24,114112
03071100,List 3,10%,2018-09-24,114112
03071100,List 3,10%,2018-09-24,112512
03071200,List 3,10%,2018-09-24,112512
03071200,List 3,10%,2018-09-24,114112
03071901,List 3,10%,2018-09-24,112512
03071901,List 3,10%,2018-09-24,114112
03072100,List 3,10%,2018-09-24,114112
03072200,List 3,10%,2018-09-24,114112
03072901,List 3,10%,2018-09-24,114112
03073100,List 3,10%,2018-09-24,112512
03073100,List 3,10%,2018-09-24,114112
03073200,List 3,10%,2018-09-24,114112
03073901,List 3,10%,2018-09-24,114112
03074200,List 3,10%,2018-09-24,114112
03074300,List 3,10%,2018-09-24,114112
03074901,List 3,10%,2018-09-24,114112
03075100,List 3,10%,2018-09-24,114112
03075200,List 3,10%,2018-09-24,114112
03075901,List 3,10%,2018-09-24,114112
03076000,List 3,10%,2018-09-24,114112
03077100,List 3,10%,2018-09-24,114112
03077200,List 3,10%,2018-09-24,114112
03077901,List 3,10%,2018-09-24,114112
03078100,List 3,10%,2018-09-24,114112
03078200,List 3,10%,2018-09-24,114112
03078300,List 3,10%,2018-09-24,114112
03078400,List 3,10%,2018-09-24,114112
03078700,List 3,10%,2018-09-24,114112
03078800,List 3,10%,2018-09-24,114112
03079102,List 3,10%,2018-09-24,114112
03079200,List 3,10%,2018-09-24,114112
03079902,List 3,10%,2018-09-24,114112
03081100,List 3,10%,2018-09-24,114112
03081200,List 3,10%,2018-09-24,114112
03081901,List 3,10%,2018-09-24,114112
03082100,List 3,10%,2018-09-24,114112
03082200,List 3,10%,2018-09-24,114112
03082901,List 3,10%,2018-09-24,114112
03083000,List 3,10%,2018-09-24,114112
03089000,List 3,10%,2018-09-24,114112
04041005,List 3,10%,2018-09-24,311514
04041008,List 3,10%,2018-09-24,311514
04041011,List 3,10%,2018-09-24,311514
04041015,List 3,10%,2018-09-24,311514
04041020,List 3,10%,2018-09-24,311513
04041048,List 3,10%,2018-09-24,311514
04041050,List 3,10%,2018-09-24,311514
