fips,year,emp_total,avg_weekly_wage,tariff_exposure_share,tariff_exposure_weighted,emp_total_2017,firms,bds_emp,firm_birth_rate,gdp_current_dollars,state,county,county_name,population,median_income,pct_ba_plus,pct_moved_diff_state
01000,2015,17117190,708.1234611326064,0.011360679778053717,0.001327820737933071,17576325.0,,,,203113340.0,,,,,,,
01000,2016,17127349,715.2133847231955,0.011360679778053717,0.001327820737933071,17576325.0,,,,208824280.0,,,,,,,
01000,2017,17576325,739.6702949438202,0.011360679778053717,0.001327820737933071,17576325.0,,,,216615470.0,,,,,,,
01000,2018,17803858,753.4118466898955,0.011360679778053717,0.001327820737933071,17576325.0,,,,226263784.0,,,,,,,
01000,2019,18052445,776.1051898293277,0.011360679778053717,0.001327820737933071,17576325.0,,,,234798213.0,,,,,,,
01001,2015,69007,209.9510022271715,0.0,0.0,69244.0,656.0,7667.0,,1729098.0,01,001,"Autauga County, Alabama",55380.0,58731.0,26.6,2.8
01001,2016,70017,223.77789815817985,0.0,0.0,69244.0,658.0,7855.0,,1806246.0,01,001,"Autauga County, Alabama",55380.0,58731.0,26.6,2.8
01001,2017,69244,209.70697167755992,0.0,0.0,69244.0,648.0,7812.0,,1762558.0,01,001,"Autauga County, Alabama",55380.0,58731.0,26.6,2.8
01001,2018,70110,236.55616139585607,0.0,0.0,69244.0,641.0,8024.0,,1826642.0,01,001,"Autauga County, Alabama",55380.0,58731.0,26.6,2.8
01001,2019,70476,250.7271727172717,0.0,0.0,69244.0,665.0,8302.0,,1814228.0,01,001,"Autauga County, Alabama",55380.0,58731.0,26.6,2.8
01003,2015,539303,379.56538969616906,0.0013966480446927375,0.00019103379075063472,574948.0,4058.0,59651.0,,6492574.0,01,003,"Baldwin County, Alabama",212830.0,58320.0,31.9,2.9
01003,2016,561018,385.5393623942746,0.0013966480446927375,0.00019103379075063472,574948.0,4146.0,62208.0,,6983037.0,01,003,"Baldwin County, Alabama",212830.0,58320.0,31.9,2.9
01003,2017,574948,399.62927143778205,0.0013966480446927375,0.00019103379075063472,574948.0,4221.0,62573.0,,7382558.0,01,003,"Baldwin County, Alabama",212830.0,58320.0,31.9,2.9
01003,2018,593736,440.47392438070403,0.0013966480446927375,0.00019103379075063472,574948.0,4309.0,64890.0,,7935575.0,01,003,"Baldwin County, Alabama",212830.0,58320.0,31.9,2.9
01003,2019,611589,430.1504196255649,0.0013966480446927375,0.00019103379075063472,574948.0,4419.0,67490.0,,8558537.0,01,003,"Baldwin County, Alabama",212830.0,58320.0,31.9,2.9
01005,2015,52902,177.41442715700143,0.005104043973301924,0.0005148914689550732,50940.0,383.0,6861.0,,765000.0,01,005,"Barbour County, Alabama",25361.0,32525.0,11.6,1.9
01005,2016,50209,176.95142857142858,0.005104043973301924,0.0005148914689550732,50940.0,383.0,6850.0,,757473.0,01,005,"Barbour County, Alabama",25361.0,32525.0,11.6,1.9
01005,2017,50940,188.95857142857142,0.005104043973301924,0.0005148914689550732,50940.0,386.0,6852.0,,761761.0,01,005,"Barbour County, Alabama",25361.0,32525.0,11.6,1.9
01005,2018,50894,208.56373937677054,0.005104043973301924,0.0005148914689550732,50940.0,388.0,7039.0,,789103.0,01,005,"Barbour County, Alabama",25361.0,32525.0,11.6,1.9
