hs8,tariff_rate,effective_date,list_id
91,25.0,2018-06-20,List 1
25,25.0,2018-06-20,List 1
28459000,25.0,2018-06-20,List 1
40113000,25.0,2018-06-20,List 1
40121300,25.0,2018-06-20,List 1
84011000,25.0,2018-06-20,List 1
84012000,25.0,2018-06-20,List 1
84013000,25.0,2018-06-20,List 1
84014000,25.0,2018-06-20,List 1
84021100,25.0,2018-06-20,List 1
84021200,25.0,2018-06-20,List 1
84021900,25.0,2018-06-20,List 1
84022000,25.0,2018-06-20,List 1
84029000,25.0,2018-06-20,List 1
84042000,25.0,2018-06-20,List 1
84049000,25.0,2018-06-20,List 1
84051000,25.0,2018-06-20,List 1
84059000,25.0,2018-06-20,List 1
84061010,25.0,2018-06-20,List 1
84061090,25.0,2018-06-20,List 1
84068190,25.0,2018-06-20,List 1
84068290,25.0,2018-06-20,List 1
84071000,25.0,2018-06-20,List 1
84072100,25.0,2018-06-20,List 1
84072900,25.0,2018-06-20,List 1
84081000,25.0,2018-06-20,List 1
84089010,25.0,2018-06-20,List 1
84089090,25.0,2018-06-20,List 1
84091000,25.0,2018-06-20,List 1
84101100,25.0,2018-06-20,List 1
84101200,25.0,2018-06-20,List 1
84101300,25.0,2018-06-20,List 1
84109000,25.0,2018-06-20,List 1
84111140,25.0,2018-06-20,List 1
84111180,25.0,2018-06-20,List 1
84111240,25.0,2018-06-20,List 1
84111280,25.0,2018-06-20,List 1
84112140,25.0,2018-06-20,List 1
84112180,25.0,2018-06-20,List 1
84112240,25.0,2018-06-20,List 1
84112280,25.0,2018-06-20,List 1
84118140,25.0,2018-06-20,List 1
84118180,25.0,2018-06-20,List 1
84118240,25.0,2018-06-20,List 1
84118280,25.0,2018-06-20,List 1
84119110,25.0,2018-06-20,List 1
84119190,25.0,2018-06-20,List 1
84335100,25.0,2018-06-20,List 1
84335200,25.0,2018-06-20,List 1
84335300,25.0,2018-06-20,List 1
02032920,10%,2018-09-24,List 3
02032940,10%,2018-09-24,List 3
02061000,10%,2018-09-24,List 3
02081000,10%,2018-09-24,List 3
02089020,10%,2018-09-24,List 3
02089025,10%,2018-09-24,List 3
02101900,10%,2018-09-24,List 3
03011100,10%,2018-09-24,List 3
03011900,10%,2018-09-24,List 3
03019100,10%,2018-09-24,List 3
03019200,10%,2018-09-24,List 3
03019302,10%,2018-09-24,List 3
03019401,10%,2018-09-24,List 3
03019500,10%,2018-09-24,List 3
03019903,10%,2018-09-24,List 3
03021100,10%,2018-09-24,List 3
03021300,10%,2018-09-24,List 3
03021400,10%,2018-09-24,List 3
03021900,10%,2018-09-24,List 3
03022100,10%,2018-09-24,List 3
03022200,10%,2018-09-24,List 3
